,PROD-001,PROD-002,PROD-003
2024-03-31,312.1715650080212,470.2949310614422,618.219015310533
2024-04-01,311.9174237560195,473.6667629748481,622.7390054327698
2024-04-02,314.1071508828221,477.038594888254,627.4660044449902
2024-04-03,316.296878009632,480.4104268016599,631.985994567227
2024-04-04,319.05665329052715,486.57732600732413,636.5059846894637
2024-04-05,321.24638041733704,489.94915792073004,641.0259748117005
2024-04-06,317.1288764044963,487.6279513931768,631.6940400049298
2024-04-07,324.93807383627245,490.9997833065827,632.3759748117005
2024-04-08,327.12780096308234,487.836405111746,643.6969953080625
2024-04-09,329.31752808988495,486.8391562744458,648.2169854302992
2024-04-10,331.50725521669483,490.2109881878372,656.1340696382194
2024-04-11,333.69698234349744,493.5828201012431,660.6540597604562
2024-04-12,335.8786918138065,491.5747833065714,665.4690153105184
2024-04-13,331.9055296950255,496.6756336173148,669.9890054327698
2024-04-14,334.61907704654715,512.7449310614422,673.0779799975295
2024-04-15,336.80880417335703,517.9744386138154,677.5979701197663
2024-04-16,336.76752808988493,521.3462705272213,682.117960242003
2024-04-17,338.9572552166948,524.7181024406273,686.6379503642398
2024-04-18,341.1469823434974,528.0899343540332,684.6379503642398
2024-04-19,343.9805778491189,531.4617662674391,682.6199592542267
2024-04-20,343.0424237560195,526.7607797258901,697.1219953080624
2024-04-21,346.76446227929716,521.9212705272246,704.5579898752927
2024-04-22,351.6984510433409,525.2931024406305,709.0779799975295
2024-04-23,353.88817817014353,528.6649343540364,713.5979701197663
2024-04-24,356.0779052969534,532.0367662674423,718.117960242003
2024-04-25,358.1822552166932,535.0367662674391,722.6379503642398
2024-04-26,360.3719823435031,536.6867662674391,721.7629503642398
2024-04-27,359.0586436597123,534.0531040869228,720.9379503642398
2024-04-28,346.2292937399725,533.7485965345495,708.5129503642398
2024-04-29,348.4190208667751,537.1204284479554,704.1049481417431
